fileName,Blues,Classical,Country,Electronic,Folk,Hip-Hop,Jazz,Pop,Rock,Soul-RnB
Blues_8_10.png,1,0,0,0,0,0,0,0,0,0
Blues_65_7.png,1,0,0,0,0,0,0,0,0,0
Blues_20_7.png,1,0,0,0,0,0,0,0,0,0
Blues_20_13.png,1,0,0,0,0,0,0,0,0,0
Blues_7_5.png,1,0,0,0,0,0,0,0,0,0
Blues_4_10.png,1,0,0,0,0,0,0,0,0,0
Blues_56_8.png,1,0,0,0,0,0,0,0,0,0
Blues_51_13.png,1,0,0,0,0,0,0,0,0,0
Blues_63_1.png,1,0,0,0,0,0,0,0,0,0
Blues_13_8.png,1,0,0,0,0,0,0,0,0,0
Blues_26_1.png,1,0,0,0,0,0,0,0,0,0
Blues_45_2.png,1,0,0,0,0,0,0,0,0,0
Blues_1_3.png,1,0,0,0,0,0,0,0,0,0
Blues_58_7.png,1,0,0,0,0,0,0,0,0,0
Blues_24_3.png,1,0,0,0,0,0,0,0,0,0
Blues_61_3.png,1,0,0,0,0,0,0,0,0,0
Blues_72_9.png,1,0,0,0,0,0,0,0,0,0
Blues_37_9.png,1,0,0,0,0,0,0,0,0,0
Blues_32_13.png,1,0,0,0,0,0,0,0,0,0
Blues_39_6.png,1,0,0,0,0,0,0,0,0,0
Blues_3_1.png,1,0,0,0,0,0,0,0,0,0
Blues_67_12.png,1,0,0,0,0,0,0,0,0,0
Blues_67_13.png,1,0,0,0,0,0,0,0,0,0
Blues_39_7.png,1,0,0,0,0,0,0,0,0,0
Blues_32_12.png,1,0,0,0,0,0,0,0,0,0
Blues_72_8.png,1,0,0,0,0,0,0,0,0,0
Blues_47_1.png,1,0,0,0,0,0,0,0,0,0
Blues_37_8.png,1,0,0,0,0,0,0,0,0,0
Blues_24_2.png,1,0,0,0,0,0,0,0,0,0
Blues_61_2.png,1,0,0,0,0,0,0,0,0,0
Blues_58_6.png,1,0,0,0,0,0,0,0,0,0
Blues_1_2.png,1,0,0,0,0,0,0,0,0,0
Blues_45_3.png,1,0,0,0,0,0,0,0,0,0
Blues_51_12.png,1,0,0,0,0,0,0,0,0,0
Blues_56_9.png,1,0,0,0,0,0,0,0,0,0
Blues_13_9.png,1,0,0,0,0,0,0,0,0,0
Blues_4_11.png,1,0,0,0,0,0,0,0,0,0
Blues_7_4.png,1,0,0,0,0,0,0,0,0,0
Blues_20_12.png,1,0,0,0,0,0,0,0,0,0
Blues_65_6.png,1,0,0,0,0,0,0,0,0,0
Blues_20_6.png,1,0,0,0,0,0,0,0,0,0
Blues_8_11.png,1,0,0,0,0,0,0,0,0,0
Blues_43_5.png,1,0,0,0,0,0,0,0,0,0
Blues_6_14.png,1,0,0,0,0,0,0,0,0,0
Blues_5_6.png,1,0,0,0,0,0,0,0,0,0
Blues_19_2.png,1,0,0,0,0,0,0,0,0,0
Blues_22_4.png,1,0,0,0,0,0,0,0,0,0
Blues_67_4.png,1,0,0,0,0,0,0,0,0,0
Blues_43_12.png,1,0,0,0,0,0,0,0,0,0
